Nummer,Titel,Mode,Genre,Publisher,Developer,Release,Version,Players
SWJ-KGT004,Taikyoku Igo: Heisei Kiin,Monochrom,Board,Success,Success,24.02.2000,Classic,
SWJ-KGT005,Hanafuda Shiyouyo,Monochrom,Card,Success,Success,17.02.2000,Classic,2
SWJ-KGT006,Metha Communication Therapy - No Kiite!,Monochrom,Strategy,Media Entertainment,Yoshidayama Workshop,23.03.2000,Classic,
SWJ-KGT007, Fire Professional Wrestling,Monochrom,Fighting,Kaga Tech,Human,31.08.2000,Classic,2
SWJ-KGT008,Glocal Hexcite,Monochrom,Puzzle,Success,Success,29.06.2000,Classic,2
SWJ-KGTC09,Soroban Gu,beide,Puzzle,Mechanic Arms,Mechanic Arms,09.12.2000,Color,
SWJ-KNM001,BeatMania for WonderSwan,Monochrom,Music,Konami,Konami,28.04.1999,Classic,2
SWJ-LAY001,Macross - True Love Song,Monochrom,Strategy,Layup,Lay-Up,23.03.2000,Classic,1
SWJ-MDE001,Yosou Shinkaron - Keiba Yosou Shien Soft,Monochrom,Sport & Simulation,Media Entertainment,Media Entertainment,14.09.1999,Classic,1
SWJ-MGA001,Medarot Perfect Edition (Kabuto Version),Monochrom,RPG,Imagineer,Natsume ,04.05.1999,Classic,2
SWJ-MGA002,Medarot Perfect Edition (Kuwagata Version),Monochrom,RPG,Imagineer,Imagineer,04.05.1999,Classic,2
SWJ-MGH001,Tetsujin 28 Gou,Monochrom,Adventure,MegaHouse,Hikari-Pro,22.12.1999,Classic,1
SWJ-MGH003,Rainbow Islands: Putty's Party,Monochrom,Platformer,MegaHouse,DigitalWare ,29.06.2000,Classic,1
SWJ-MGTC01,Granstar Chronicle,Farbe,RPG,Omega Micott,Tom Create ,13.06.2002,Color,
SWJ-NAP001,Engacho!,Monochrom,Puzzle,NAC Geographic Products ,NAC Geographic Products ,28.10.1999,Classic,2
SWJ-NMCC01,Mr. Driller,Farbe,Puzzle,Namco,Namco,15.04.2001,Color,
SWJ-OMM001,Uzumaki - Denshi Kaikihen,Monochrom,Adventure,Omega Micott,Omega Micott,03.02.2000,Classic,1
SWJ-OMM002,Itou Jun Ni Uzumaki - Noroi Simulation,Monochrom,Adventure,Omega Micott,Omega Micott,04.03.2000,Classic,1
SWJ-OMMC03,Another Heaven: Memory of Those Days,beide,Adventure,Omega Micott,Omega Micott,21.12.2000,Color,1
SWJ-PAW001,Gorakuoh Tango!,Monochrom,Puzzle,Mebius,Mebius,1999,Classic,2
SWJ-SCC001,Mobile Wonder Gate,Monochrom,Hardware,Bandai,,14.07.2000,Classic,
SWJ-SESC01,Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de,Farbe,RPG,Mubikku,PicPac-Airreal,07.06.2000,Color,
"SWJ-SHLC01, SWJ-SHLC02",With You: Mitsumete Itai,Farbe,Adventure,Cocktail Soft,Shall Luck Plus ,25.01.2001,Color,
